0,Closed,Open, 2024-06-05 09:49:38
0,Closed,Closed, 2024-06-05 09:49:45
0,Closed,Closed, 2024-06-05 09:49:53
0,Closed,Open, 2024-06-05 09:50:01
0,Open,Closed, 2024-06-05 09:50:09
0,Closed,Closed, 2024-06-05 09:50:16
0,Closed,Closed, 2024-06-05 09:50:24
0,Open,Closed, 2024-06-05 09:50:32
0,Closed,Closed, 2024-06-05 09:50:39
0,Closed,Closed, 2024-06-05 09:50:47
0,Closed,Closed, 2024-06-05 09:50:55
0,Open,Closed, 2024-06-05 09:51:03
0,Closed,Closed, 2024-06-05 09:51:10
0,Closed,Closed, 2024-06-05 09:51:180,Closed,Open0,Closed,Open, 2024-06-05 09:58:41
0,Closed,Closed, 2024-06-05 09:58:49
0,Closed,Closed, 2024-06-05 09:58:56
0,Closed,Open, 2024-06-05 09:59:04
0,Open,Closed, 2024-06-05 09:59:12
0,Closed,Closed, 2024-06-05 09:59:20
0,Open,Closed, 2024-06-05 09:59:27
0,Closed,Closed, 2024-06-05 09:59:35
0,Open,Closed, 2024-06-05 09:59:43
0,Closed,Closed, 2024-06-05 09:59:51
0,Open,Closed, 2024-06-05 09:59:58
0,Closed,Closed, 2024-06-05 10:00:06
0,Closed,Closed, 2024-06-05 10:00:14
0,Closed,Closed, 2024-06-05 10:00:22
0,Closed,Closed, 2024-06-05 10:00:29
0,Closed,Open, 2024-06-05 10:00:37
0,Closed,Closed, 2024-06-05 10:00:45
0,Open,Closed, 2024-06-05 10:00:52
0,Closed,Closed, 2024-06-05 10:01:00
0,Closed,Closed, 2024-06-05 10:01:08
0,Open,Closed, 2024-06-05 10:01:16
0,Closed,Closed, 2024-06-05 10:01:23
0,Open,Closed, 2024-06-05 10:01:31
0,Closed,Closed, 2024-06-05 10:01:39
0,Open,Closed, 2024-06-05 10:01:47
0,Closed,Closed, 2024-06-05 10:01:54
0,Closed,Closed, 2024-06-05 10:02:02
0,Closed,Open, 2024-06-05 10:02:10
0,Closed,Closed, 2024-06-05 10:02:18
0,Closed,Closed, 2024-06-05 10:02:25
0,Open,Closed, 2024-06-05 10:02:33
0,Open,Closed, 2024-06-05 10:02:41
0,Open,Closed, 2024-06-05 10:02:49
0,Closed,Closed, 2024-06-05 10:02:56
17,Open,Open, 2024-06-05 12:03:39
17,Open,Open, 2024-06-05 12:03:46
5,Open,Open, 2024-06-05 12:04:15
17,Open,Open, 2024-06-05 12:04:24
17,Open,Open, 2024-06-05 12:04:31
17,Open,Open, 2024-06-05 12:04:38
17,Open,Open, 2024-06-05 12:04:45
17,Open,Open, 2024-06-05 12:04:52
17,Open,Open, 2024-06-05 12:04:59
17,Open,Open, 2024-06-05 12:05:06
17,Open,Open, 2024-06-05 12:05:13
17,Open,Open, 2024-06-05 12:05:20
17,Open,Open, 2024-06-05 12:05:27
16,Open,Closed, 2024-06-05 12:05:34
17,Open,Open, 2024-06-05 12:05:41
17,Open,Closed, 2024-06-05 12:05:48
17,Open,Closed, 2024-06-05 12:05:55
17,Open,Closed, 2024-06-05 12:06:02
17,Open,Closed, 2024-06-05 12:06:10
17,Open,Open, 2024-06-05 12:06:17
17,Open,Open, 2024-06-05 12:06:24
17,Open,Closed, 2024-06-05 12:06:31
23,Open,Closed, 2024-06-05 12:06:38
25,Open,Closed, 2024-06-05 12:06:45
24,Open,Closed, 2024-06-05 12:06:52
26,Open,Closed, 2024-06-05 12:06:59
25,Open,Closed, 2024-06-05 12:07:06
25,Open,Open, 2024-06-05 12:07:13
26,Open,Open, 2024-06-05 12:07:20
26,Open,Closed, 2024-06-05 12:07:27
26,Open,Open, 2024-06-05 12:07:34
26,Open,Closed, 2024-06-05 12:07:41
28,Open,Closed, 2024-06-05 12:08:41
28,Open,Closed, 2024-06-05 12:08:41
28,Open,Closed, 2024-06-05 12:08:4120,Open,Empty, 2024-06-05 18:16:25
21,Open,Empty, 2024-06-05 18:16:32
21,Open,Empty, 2024-06-05 18:16:39
21,Open,Empty, 2024-06-05 18:16:46
21,Open,Empty, 2024-06-05 18:16:53
25,Open,Empty, 2024-06-05 18:17:00
21,Open,Empty, 2024-06-05 18:17:07
24,Open,Empty, 2024-06-05 18:17:14
21,Open,Empty, 2024-06-05 18:17:21
21,Open,Empty, 2024-06-05 18:17:28
21,Open,Empty, 2024-06-05 18:17:35
21,Open,Empty, 2024-06-05 18:17:42
21,Open,Empty, 2024-06-05 18:17:49
25,Open,Empty, 2024-06-05 18:17:56
24,Open,Empty, 2024-06-05 18:18:03
21,Open,Empty, 2024-06-05 18:18:10
21,Open,Empty, 2024-06-05 18:18:17
21,Open,Full, 2024-06-05 18:18:24
21,Open,Full, 2024-06-05 18:18:32
